created_at,account,id,text
2025-05-27T15:44:23.267Z,realDonaldTrump,114580564427808609,"What Vladimir Putin doesn’t realize is that if it weren’t for me, lots of really bad things would have already happened to Russia, and I mean REALLY BAD. He’s playing with fire!"
2025-05-26T11:22:20.783Z,realDonaldTrump,114573871728757682,"HAPPY MEMORIAL DAY TO ALL, INCLUDING THE SCUM THAT SPENT THE LAST FOUR YEARS TRYING TO DESTROY OUR COUNTRY THROUGH WARPED RADICAL LEFT MINDS, WHO ALLOWED 21,000,000 MILLION PEOPLE TO ILLEGALLY ENTER OUR COUNTRY, MANY OF THEM BEING CRIMINALS AND THE MENTALLY INSANE,THROUGH AN OPEN BORDER THAT ONLY AN INCOMPETENT PRESIDENT WOULD APPROVE, AND THROUGH JUDGES WHO ARE ON A MISSION TO KEEP MURDERERS, DRUG DEALERS, RAPISTS, GANG MEMBERS, AND RELEASED PRISONERS FROM ALL OVER THE WORLD, IN OUR COUNTRY SO THEY CAN ROB, MURDER, AND RAPE AGAIN — ALL PROTECTED BY THESE USA HATING JUDGES WHO SUFFER FROM AN IDEOLOGY THAT IS SICK, AND VERY DANGEROUS FOR OUR COUNTRY. HOPEFULLY THE UNITED STATES SUPREME COURT, AND OTHER GOOD AND COMPASSIONATE JUDGES THROUGHOUT THE LAND, WILL SAVE US FROM THE DECISIONS OF THE MONSTERS WHO WANT OUR COUNTRY TO GO TO HELL. BUT FEAR NOT, WE HAVE MADE GREAT PROGRESS OVER THE LAST 4 MONTHS, AND AMERICA WILL SOON BE SAFE AND GREAT AGAIN! AGAIN, HAPPY MEMORIAL DAY, AND GOD BLESS AMERICA!"
2025-05-26T00:46:06.770Z,realDonaldTrump,114571369956761390,"I’ve always had a very good relationship with Vladimir Putin of Russia, but something has happened to him. He has gone absolutely CRAZY! He is needlessly killing a lot of people, and I’m not just talking about soldiers. Missiles and drones are being shot into Cities in Ukraine, for no reason whatsoever. I’ve always said that he wants ALL of Ukraine, not just a piece of it, and maybe that’s proving to be right, but if he does, it will lead to the downfall of Russia! Likewise, President Zelenskyy is doing his Country no favors by talking the way he does. Everything out of his mouth causes problems, I don’t like it, and it better stop. This is a War that would never have started if I were President. This is Zelenskyy’s, Putin’s, and Biden’s War, not “Trump’s,” I am only helping to put out the big and ugly fires, that have been started through Gross Incompetence and Hatred."
2025-05-25T04:51:12.426Z,realDonaldTrump,114566671392866950,"Why isn’t Harvard saying that almost 31% of their students are from FOREIGN LANDS, and yet those countries, some not at all friendly to the United States, pay NOTHING toward their student’s education, nor do they ever intend to. Nobody told us that! We want to know who those foreign students are, a reasonable request since we give Harvard BILLIONS OF DOLLARS, but Harvard isn’t exactly forthcoming. We want those names and countries. Harvard has $52,000,000, use it, and stop asking for the Federal Government to continue GRANTING money to you!"
2025-05-23T09:43:05.024Z,realDonaldTrump,114556494480941887,A major prisoners swap was just completed between Russia and Ukraine. It will go into effect shortly. Congratulations to both sides on this negotiation. This could lead to something big???
2025-05-22T12:23:27.477Z,realDonaldTrump,114551462787614405,"“THE ONE, BIG, BEAUTIFUL BILL” has PASSED the House of Representatives! This is arguably the most significant piece of Legislation that will ever be signed in the History of our Country! The Bill includes MASSIVE Tax CUTS, No Tax on Tips, No Tax on Overtime, Tax Deductions when you purchase an American Made Vehicle, along with strong Border Security measures, Pay Raises for our ICE and Border Patrol Agents, Funding for the Golden Dome, “TRUMP Savings Accounts” for newborn babies, and much more! Great job by Speaker Mike Johnson, and the House Leadership, and thank you to every Republican who voted YES on this Historic Bill! Now, it’s time for our friends in the United States Senate to get to work, and send this Bill to my desk AS SOON AS POSSIBLE! There is no time to waste. The Democrats have lost control of themselves, and are aimlessly wandering around, showing no confidence, grit, or determination. They have forgotten their landslide loss in the Presidential Election, and are warped in the past, hoping someday to revive Open Borders for the World’s criminals to be able to pour into our Country, men to be able to play in women’s sports, and transgender for everybody. They don’t realize that these things, and so many more like them, will NEVER AGAIN happen!"
2025-05-21T22:48:18.484Z,realDonaldTrump,114548257487682819,"I am giving very serious consideration to bringing Fannie Mae and Freddie Mac public. I will be speaking with Treasury Secretary Scott Bessent, Secretary of Commerce Howard Lutnick, and the Director of the Federal Housing Finance Agency, William Pulte, among others, and will be making a decision in the near future. Fannie Mae and Freddie Mac are doing very well, throwing off a lot of CASH, and the time would seem to be right. Stay tuned!"
2025-05-19T21:05:21.362Z,realDonaldTrump,114536528043211432,"First Lady @MelaniaTrump: “This legislation (‘Take It Down Act') is a powerful step forward in our efforts to ensure that every American, especially young people, can feel better protected from their image or identity being abused..."""
2025-05-19T17:33:06.392Z,realDonaldTrump,114535693441367601,"Just completed my two hour call with President Vladimir Putin of Russia. I believe it went very well. Russia and Ukraine will immediately start negotiations toward a Ceasefire and, more importantly, an END to the War. The conditions for that will be negotiated between the two parties, as it can only be, because they know details of a negotiation that nobody else would be aware of. The tone and spirit of the conversation were excellent. If it wasn’t, I would say so now, rather than later. Russia wants to do largescale TRADE with the United States when this catastrophic “bloodbath” is over, and I agree. There is a tremendous opportunity for Russia to create massive amounts of jobs and wealth. Its potential is UNLIMITED. Likewise, Ukraine can be a great beneficiary on Trade, in the process of rebuilding its Country. Negotiations between Russia and Ukraine will begin immediately. I have so informed President Volodymyr Zelenskyy, of Ukraine, Ursula von der Leyen, President of the European Commission, President Emmanuel Macron, of France, Prime Minister Giorgia Meloni, of Italy, Chancellor Friedrich Merz, of Germany, and President Alexander Stubb, of Finland, during a call with me, immediately after the call with President Putin. The Vatican, as represented by the Pope, has stated that it would be very interested in hosting the negotiations. Let the process begin!"
2025-05-18T21:32:46.115Z,realDonaldTrump,114530973523345791,"Melania and I are saddened to hear about Joe Biden’s recent medical diagnosis. We extend our warmest and best wishes to Jill and the family, and we wish Joe a fast and successful recovery."
