created_at,account,id,text,time_bin
2022-03-24 19:28:16.017000+00:00,TeamTrump,1.08013E+17,Ukrainian-born GOP city lawmaker meets with former President Trumphttps://nypost.com/2022/03/20/ukrainian-born-nyc-gop-lawmaker-meets-with-donald-trump/,0
2022-05-01 12:55:04.762000+00:00,realDonaldTrump,1.08227E+17,"The Democrats are the Party of Disinformation. The Russia, Russia, Russia Scam, Impeachment Hoax # 1, Impeachment Hoax # 2, the Fake Dossier, and so much more, everything is a LIE - But their biggest LIE, by far, is the results of the Presidential Election. They know it, and so does everyone else!",0
2022-05-12 17:43:01.945000+00:00,realDonaldTrump,1.0829E+17,"Why are we giving more than $40 Billion to Ukraine while Europe, by comparison, is giving very little, and they are greatly more impacted by a Russian invasion, obviously, than the U.S. I made NATO rich by getting European Nations to “pay up.” Most were delinquent and either not paying, or paying much less than they agreed to. Get Europe, and others, to finally pay their fair share. China, and others, is smiling all the way to the bank!",0
2022-05-14 15:27:08.997000+00:00,realDonaldTrump,1.08301E+17,"RT @ClayAndBuckClay Travis and Buck Sexton break down the House approving another $40 billion to aid Ukraine and help protect their border. Meanwhile, here in the States, our border is a disaster like we have never seen before.https://rumble.com/v14cu9j-dems-defend-40b-to-protect-ukraines-border-nothing-for-ours.html",0
2022-05-14 20:32:15.199000+00:00,realDonaldTrump,1.08302E+17,"The last person that Josh “The Little Weasel” Shapiro wants to run against for Governor of Pennsylvania is Doug Mastriano, who has got an army of enthusiastic warriors and patriots on his side. It’s all just typical Democrat DISINFORMATION, which is all they’re good at. The Weasels only chance of winning is a 2020 style Election Fraud (see “2000 Mules”)!!!",0
2022-05-17 02:06:30.210000+00:00,realDonaldTrump,1.08315E+17,https://www.wsj.com/articles/john-durham-goes-to-court-russia-collusion-hoax-fbi-trump-clinton-sussmann-dnc-indictment-charges-11652393183,0
2022-05-18 13:39:58.779000+00:00,realDonaldTrump,1.08323E+17,"The Plot Against the King is the true story about the Russia Collusion hoax, written for children, by my friend @Kash. Live the tale thru the eyes of great characters like the handsome King Donald and Kash the Wizard. This story showcases how Hillary Queenton and a Shifty Knight tried to destroy our democracy, but truth and the MAGA King prevailed. Support this great patriot, educate our children, and put a copy in every school across our land. Order yours now at theplotagainsttheking.com !",0
2022-05-19 14:02:06.586000+00:00,realDonaldTrump,1.08329E+17,RT @realmarialealSussmann Trial #W27#TrumpTrains🧤Follow me 🚨ReTruth 🔁🦁 @ 4 🚂@realmarialeal 👈 #IFBAP 🇺🇸@jhleal1@1Nicdar@2ADivaR @AgentSquirrel@AmzGrce@Asheriff@BelannF@Blondies@brneyedgrl@Brooke47@CaliRN@Carolg117@CASieversM @ChasityRose111@ChicoBoy1@Cindy4Liberty@CitizenSe7en@DixiDarlen@DixieKat@DreamFox@dsware123@DustieDahl@EarthsGhost4DJT@FatherofEssenL @GAPeach3102@GregPogo35@Girlforce@GlockfordFiles@GreyGhostOutlaw,0
2022-05-19 14:09:02.509000+00:00,realDonaldTrump,1.08329E+17,RT @justthenewsThe first trial resulting from Special Counsel John Durham's methodical investigation into the origins of the discredited Trump-Russia collusion narrative opens Monday#JustTheNewsRead more ➡️https://justthenews.com/accountability/russia-and-ukraine-scandals/dc-district-court-hear-special-counsel-john-durhams-case?utm_source=truth&amp;utm_medium=app&amp;utm_campaign=truth_social,0
2022-05-20 19:45:48.044000+00:00,realDonaldTrump,1.08336E+17,https://nypost.com/2022/05/20/hillary-clinton-okd-sharing-trump-russia-data-campaign-manager/,0
2022-05-21 01:05:12.253000+00:00,realDonaldTrump,1.08337E+17,"Congressman Barry Moore (@barrymooreforcongress) is an incredible Representative for Alabama’s 2nd Congressional District.Barry is a Conservative Warrior who tirelessly works on behalf of our Country to Secure our Border, Defend the First &amp; Second Amendments, Protect Life, Promote American Agriculture, Strengthen &amp; Support our Military, and Provide the Care our Brave Veterans Deserve.Barry Moore was one of the earliest supporters of our Movement, and he has my Complete and Total Endorsement!",0
